title,Release,directors,genres,stars,durationss,title,Release,directors,genres,stars,durationss
The Batman,['2022'],Matt Reeves,"Action, Crime, Drama","Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell",176,On aika tappaa,['1996'],Joel Schumacher,"Action, Crime, Drama","Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey",149
West Side Story,['2021'],Steven Spielberg,"Crime, Drama, Musical","Ansel Elgort, Rachel Zegler, Ariana DeBose, David Alvarez",156,Mafiaveljet,['1990'],Martin Scorsese,"Crime, Drama, Musical","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",146
The Weekend Away,['2022'],Kim Farrant,"Crime, Drama, Mystery","Leighton Meester, Christina Wolfe, Ziad Bakri, Luke Norris",89,Baywatch,['2017'],Seth Gordon,"Crime, Drama, Mystery","Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra Jonas",116
Yön ritari,['2008'],Christopher Nolan,"Action, Crime, Drama","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",152,The Departed,['2006'],Martin Scorsese,"Action, Crime, Drama","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",151
Nightmare Alley,['2021'],Guillermo del Toro,"Crime, Drama, Thriller","Bradley Cooper, Cate Blanchett, Toni Collette, Willem Dafoe",150,John Wick,['2014'],Chad Stahelski,"Crime, Drama, Thriller","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",101
Kuolema Niilillä,['2022'],Kenneth Branagh,"Crime, Drama, Mystery","Tom Bateman, Annette Bening, Kenneth Branagh, Russell Brand",127,Lupaava nuori nainen,['2020'],Emerald Fennell,"Crime, Drama, Mystery","Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown",113
Batman Begins,['2005'],Christopher Nolan,"Action, Crime, Drama","Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson",140,Hitman's Wife's Bodyguard,['2021'],Patrick Hughes,"Action, Crime, Drama","Ryan Reynolds, Samuel L. Jackson, Salma Hayek, Antonio Banderas",100
House of Gucci,['2021'],Ridley Scott,"Crime, Drama","Lady Gaga, Adam Driver, Al Pacino, Jeremy Irons",158,Once Upon a Time in America - suuri gangsterisota,['1984'],Sergio Leone,"Crime, Drama","Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams",229
Yön ritarin paluu,['2012'],Christopher Nolan,"Action, Crime, Drama","Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",164,The Unforgivable,['2021'],Nora Fingscheidt,"Action, Crime, Drama","Sandra Bullock, Viola Davis, Vincent D'Onofrio, Jon Bernthal",112
West Side Story,['1961'],Jerome Robbins,"Crime, Drama, Musical","Natalie Wood, George Chakiris, Richard Beymer, Russ Tamblyn",153,My Son,['2021'],Christian Carion,"Crime, Drama, Musical","James McAvoy, Claire Foy, Tom Cullen, Gary Lewis",95
Fast & Furious 9,"['9', '2021']",Justin Lin,"Action, Crime, Thriller","Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson",143,21,"['21', '2008']",Robert Luketic,"Action, Crime, Thriller","Jim Sturgess, Kate Bosworth, Kevin Spacey, Aaron Yoo",123
Texas Chainsaw Massacre,['2022'],David Blue Garcia,"Crime, Horror, Thriller","Sarah Yarkin, Elsie Fisher, Mark Burnham, Jacob Latimore",83,Kick-Ass,['2010'],Matthew Vaughn,"Crime, Horror, Thriller","Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown",117
Joker,['2019'],Todd Phillips,"Crime, Drama, Thriller","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",122,L,[],Curtis Hanson,"Crime, Drama, Thriller","Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger",138
DC Superlemmikkien liiga,['2022'],Jared Stern,"Animation, Action, Adventure","Dwayne Johnson, Kevin Hart, Vanessa Bayer, Natasha Lyonne",,Heat - ajojahti,['1995'],Michael Mann,"Animation, Action, Adventure","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",170
Kummisetä,['1972'],Francis Ford Coppola,"Crime, Drama","Marlon Brando, Al Pacino, James Caan, Diane Keaton",175,Cluedo - pelaa henkesi edestä,['1985'],Jonathan Lynn,"Crime, Drama","Eileen Brennan, Tim Curry, Madeline Kahn, Christopher Lloyd",94
Batman - paluu,['1992'],Tim Burton,"Action, Crime, Fantasy","Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken",126,Public Enemies,['2009'],Michael Mann,"Action, Crime, Fantasy","Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke",140
Kimi,['2022'],Steven Soderbergh,"Crime, Drama, Thriller","Zoë Kravitz, Byron Bowers, Rita Wilson, Erika Christensen",89,Taksikuski,['1976'],Martin Scorsese,"Crime, Drama, Thriller","Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks",114
Gangubai Kathiawadi,['2022'],Sanjay Leela Bhansali,"Biography, Crime, Drama","Alia Bhatt, Shantanu Maheshwari, Vijay Raaz, Indira Tiwari",152,Sicario,['2015'],Denis Villeneuve,"Biography, Crime, Drama","Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal",121
Veitset esiin - kaikki ovat epäiltyjä,['2019'],Rian Johnson,"Comedy, Crime, Drama","Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis",130,Valamiesten ratkaisu,['1957'],Sidney Lumet,"Comedy, Crime, Drama","Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",96
Nobody,['2021'],Ilya Naishuller,"Action, Crime, Drama","Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen, Christopher Lloyd",92,Syyllinen,['2021'],Antoine Fuqua,"Action, Crime, Drama","Jake Gyllenhaal, Riley Keough, Peter Sarsgaard, Christina Vidal",90
Vihreä maili,['1999'],Frank Darabont,"Crime, Drama, Fantasy","Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt",189,Kolme sekuntia,['2019'],Andrea Di Stefano,"Crime, Drama, Fantasy","Joel Kinnaman, Rosamund Pike, Common, Mateusz Kosciukiewicz",113
Vangitut,['2013'],Denis Villeneuve,"Crime, Drama, Mystery","Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo",153,Big Lebowski,['1998'],Joel Coen,"Crime, Drama, Mystery","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi",117
Pulp Fiction: Tarinoita väkivallasta,['1994'],Quentin Tarantino,"Crime, Drama","John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis",154,The Equalizer - oikeuden puolustaja,['2014'],Antoine Fuqua,"Crime, Drama","Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",132
The Wolf of Wall Street,['2013'],Martin Scorsese,"Biography, Comedy, Crime","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",180,Wind River,['2017'],Taylor Sheridan,"Biography, Comedy, Crime","Elizabeth Olsen, Jeremy Renner, Graham Greene, Kelsey Asbille",107
Killers of the Flower Moon,['2022'],Martin Scorsese,"Crime, Drama, History","Jesse Plemons, Leonardo DiCaprio, Brendan Fraser, Robert De Niro",,The Grand Budapest Hotel,['2014'],Wes Anderson,"Crime, Drama, History","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody",99
Amerikan psyko,['2000'],Mary Harron,"Crime, Drama, Horror","Christian Bale, Justin Theroux, Josh Lucas, Bill Sage",102,Army of Thieves,['2021'],Matthias Schweighöfer,"Crime, Drama, Horror","Matthias Schweighöfer, Nathalie Emmanuel, Ruby O. Fee, Stuart Martin",127
Suurenmoisen lahjakkuuden sietämätön taakaa,['2022'],Tom Gormican,"Action, Comedy, Crime","Nicolas Cage, Jacob Scipio, Pedro Pascal, Demi Moore",,Malignant,['2021'],James Wan,"Action, Comedy, Crime","Annabelle Wallis, Maddie Hasson, George Young, Michole Briana White",111
Seitsemän,['1995'],David Fincher,"Crime, Drama, Mystery","Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker",127,Epäillyt,['1995'],Bryan Singer,"Crime, Drama, Mystery","Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin",106
