Title,Descriptions,Release,Directors,Rating,Durations,Votes,Genres,Stars
The Batman,"When the Riddler, a sadistic serial killer, begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",2022,Matt Reeves,8.4,176,"251,525","Action, Crime, Drama","Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell"
West Side Story,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.",2021,Steven Spielberg,7.4,156,"52,704","Crime, Drama, Musical","Ansel Elgort, Rachel Zegler, Ariana DeBose, David Alvarez"
The Weekend Away,"A weekend getaway to Croatia that goes awry when a woman is accused of killing her best friend. As she attempts to clear her name and uncover the truth, her efforts unearth a painful secret.",2022,Kim Farrant,5.6,89,"13,644","Crime, Drama, Mystery","Leighton Meester, Christina Wolfe, Ziad Bakri, Luke Norris"
Yön ritari,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,Christopher Nolan,9.1,152,"2,522","Action, Crime, Drama","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
Nightmare Alley,An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychologist who is even more dangerous than he is.,2021,Guillermo del Toro,7.1,150,"85,126","Crime, Drama, Thriller","Bradley Cooper, Cate Blanchett, Toni Collette, Willem Dafoe"
Kuolema Niilillä,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.",2022,Kenneth Branagh,6.6,127,"30,817","Crime, Drama, Mystery","Tom Bateman, Annette Bening, Kenneth Branagh, Russell Brand"
Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",2005,Christopher Nolan,8.3,140,"1,409","Action, Crime, Drama","Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson"
House of Gucci,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.",2021,Ridley Scott,6.7,158,"89,112","Crime, Drama","Lady Gaga, Adam Driver, Al Pacino, Jeremy Irons"
Yön ritarin paluu,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",2012,Christopher Nolan,8.4,164,"1,633","Action, Crime, Drama","Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman"
West Side Story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",1961,"Jerome Robbins, Robert Wise",7.6,153,"110,749","Crime, Drama, Musical","Natalie Wood, George Chakiris, Richard Beymer, Russ Tamblyn"
